latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-25.477,150.367,338.2,1.4,1.2,2018-12-01,0030,T,84,6.0NRT,311.2,42.1,D
-25.489,150.379,350.6,1.4,1.2,2018-12-01,0030,T,94,6.0NRT,311.3,81.1,D
-25.504,150.321,338.5,1.4,1.2,2018-12-01,0030,T,85,6.0NRT,312,40.3,D
-25.378,149.134,347,1.2,1.1,2018-12-01,0030,T,91,6.0NRT,311.2,55.7,D
-25.525,150.318,325.9,1.4,1.2,2018-12-01,0030,T,35,6.0NRT,310.9,14.8,D
-25.388,149.133,345.8,1.2,1.1,2018-12-01,0030,T,90,6.0NRT,311.8,51.7,D
-25.389,149.145,345.2,1.2,1.1,2018-12-01,0030,T,90,6.0NRT,311.6,50.1,D
-25.305,148.432,340.6,1.1,1.1,2018-12-01,0030,T,85,6.0NRT,313.3,34.7,D
-25.398,149.131,333.6,1.2,1.1,2018-12-01,0030,T,65,6.0NRT,310.5,23.2,D
-25.399,149.143,336.1,1.2,1.1,2018-12-01,0030,T,77,6.0NRT,310.1,28.2,D
-25.309,148.425,336.8,1.1,1.1,2018-12-01,0030,T,36,6.0NRT,311.2,26.3,D
-25.31,148.436,336.7,1.1,1.1,2018-12-01,0030,T,28,6.0NRT,315.2,25.1,D
-25.394,149.089,327.1,1.2,1.1,2018-12-01,0030,T,38,6.0NRT,310.9,14.4,D
-25.4,149.137,336.2,1.2,1.1,2018-12-01,0030,T,65,6.0NRT,310.8,29,D
-25.402,149.076,323.3,1.2,1.1,2018-12-01,0030,T,26,6.0NRT,309.7,10.3,D
-25.408,149.124,335.7,1.2,1.1,2018-12-01,0030,T,80,6.0NRT,310.8,29.1,D
-25.409,149.136,329.3,1.2,1.1,2018-12-01,0030,T,41,6.0NRT,310,18,D
-25.328,148.422,343.7,1.1,1.1,2018-12-01,0030,T,71,6.0NRT,314.2,36.3,D
-25.342,148.534,330.1,1.1,1.1,2018-12-01,0030,T,37,6.0NRT,315.6,12.4,D
-25.37,148.518,333.2,1.1,1.1,2018-12-01,0030,T,69,6.0NRT,313,17.6,D
-25.371,148.529,331.1,1.1,1.1,2018-12-01,0030,T,57,6.0NRT,312.1,14.6,D
-25.679,151.042,326.5,1.6,1.2,2018-12-01,0030,T,65,6.0NRT,311.5,22.1,D
-25.681,151.057,331.1,1.6,1.2,2018-12-01,0030,T,76,6.0NRT,310.8,33.8,D
-25.016,145.814,339,1,1,2018-12-01,0030,T,47,6.0NRT,326.4,12.4,D
-25.732,151.212,326.6,1.6,1.2,2018-12-01,0030,T,57,6.0NRT,312.3,17.9,D
-25.403,148.479,330.9,1.1,1.1,2018-12-01,0030,T,65,6.0NRT,317.5,11.8,D
-25.483,148.997,331.3,1.2,1.1,2018-12-01,0030,T,40,6.0NRT,310.2,20,D
-25.493,148.996,333,1.2,1.1,2018-12-01,0030,T,24,6.0NRT,311.5,22.5,D
-25.753,151.202,327.9,1.6,1.2,2018-12-01,0030,T,23,6.0NRT,310.3,18.6,D
-25.501,148.983,349.1,1.2,1.1,2018-12-01,0030,T,88,6.0NRT,310.7,57.7,D
-25.507,149.03,333.1,1.2,1.1,2018-12-01,0030,T,44,6.0NRT,311.6,22.2,D
-25.763,151.185,331.7,1.6,1.2,2018-12-01,0030,T,47,6.0NRT,311.1,29.9,D
-25.532,148.99,336.3,1.2,1.1,2018-12-01,0030,T,52,6.0NRT,308.9,30.2,D
-25.94,150.738,339.5,1.5,1.2,2018-12-01,0030,T,85,6.0NRT,311.2,45.1,D
-25.959,150.812,338.6,1.5,1.2,2018-12-01,0030,T,57,6.0NRT,308,45.8,D
-25.969,150.795,339.1,1.5,1.2,2018-12-01,0030,T,82,6.0NRT,309,44.8,D
-25.962,150.821,331.9,1.5,1.2,2018-12-01,0030,T,54,6.0NRT,307.3,32.6,D
-25.97,150.789,341.4,1.5,1.2,2018-12-01,0030,T,87,6.0NRT,310.4,52.5,D
-25.971,150.804,332,1.5,1.2,2018-12-01,0030,T,39,6.0NRT,307.3,29.4,D
-26.116,151.195,324.7,1.6,1.3,2018-12-01,0030,T,51,6.0NRT,309.8,20.8,D
-26.178,148.325,355.7,1.1,1.1,2018-12-01,0030,T,97,6.0NRT,316.9,63.8,D
-26.187,148.312,337.3,1.1,1.1,2018-12-01,0030,T,56,6.0NRT,312.2,23.5,D
-27.015,150.487,363.3,1.5,1.2,2018-12-01,0030,T,100,6.0NRT,313.2,143.8,D
-27.026,150.485,370.2,1.5,1.2,2018-12-01,0030,T,100,6.0NRT,317,185.7,D
-27.028,150.5,327.6,1.5,1.2,2018-12-01,0030,T,50,6.0NRT,313.1,19.7,D
-27.017,150.481,362.7,1.5,1.2,2018-12-01,0030,T,100,6.0NRT,315.4,143,D
-27.018,150.496,347.8,1.5,1.2,2018-12-01,0030,T,91,6.0NRT,312.4,78.7,D
-27.028,150.479,339.5,1.5,1.2,2018-12-01,0030,T,83,6.0NRT,315.3,51.3,D
-27.029,150.494,335.7,1.5,1.2,2018-12-01,0030,T,78,6.0NRT,314,40.8,D
-28.153,151.445,335.2,1.8,1.3,2018-12-01,0030,T,73,6.0NRT,310.3,47.8,D
-28.165,151.443,326.9,1.8,1.3,2018-12-01,0030,T,41,6.0NRT,310.5,24.2,D
-29.346,148.199,335.5,1.2,1.1,2018-12-01,0030,T,71,6.0NRT,322.4,15.7,D
-29.348,148.212,332.7,1.2,1.1,2018-12-01,0030,T,61,6.0NRT,321.2,10.5,D
-29.648,148.506,333.2,1.2,1.1,2018-12-01,0030,T,65,6.0NRT,321.1,11.6,D
-30.459,148.836,340.4,1.3,1.1,2018-12-01,0030,T,84,6.0NRT,317.3,38.7,D
-32.633,145.782,349.3,1,1,2018-12-01,0030,T,93,6.0NRT,312,44.8,D
-32.634,145.793,333.1,1,1,2018-12-01,0030,T,78,6.0NRT,313.7,15.5,D
-37.69,145.021,318.7,1.1,1,2018-12-01,0030,T,52,6.0NRT,304,5.8,D
-37.692,145.034,320.2,1.1,1,2018-12-01,0030,T,71,6.0NRT,304,7.5,D
-37.843,145.278,319.5,1.1,1,2018-12-01,0030,T,63,6.0NRT,302.8,8.1,D
-37.842,144.778,320.7,1.1,1,2018-12-01,0030,T,64,6.0NRT,305.3,5.6,D
-37.9,145.236,317.2,1.1,1,2018-12-01,0030,T,16,6.0NRT,302.1,6.3,D
-37.902,145.248,320.1,1.1,1,2018-12-01,0030,T,52,6.0NRT,300.2,8.3,D
-37.947,145.072,321.6,1.1,1,2018-12-01,0030,T,70,6.0NRT,303.5,8.2,D
-38.095,145.172,319.6,1.1,1,2018-12-01,0030,T,50,6.0NRT,301.3,7.7,D
-9.956,149.739,315.6,1,1,2018-12-01,0025,T,68,6.0NRT,297.7,5.8,D
-9.651,147.483,324.1,1.1,1.1,2018-12-01,0025,T,64,6.0NRT,303.3,10.5,D
-9.701,147.496,325.1,1.1,1.1,2018-12-01,0025,T,39,6.0NRT,306.2,10.7,D
-9.703,147.507,332.2,1.1,1.1,2018-12-01,0025,T,84,6.0NRT,306.2,22.6,D
-9.759,147.772,333.3,1.1,1,2018-12-01,0025,T,64,6.0NRT,304.6,22.6,D
-9.76,147.782,332.1,1.1,1,2018-12-01,0025,T,64,6.0NRT,303.9,20.9,D
-10.118,149.28,346.9,1,1,2018-12-01,0025,T,94,6.0NRT,301.5,47.5,D
-9.972,148.064,319.9,1.1,1,2018-12-01,0025,T,66,6.0NRT,302.8,8.3,D
-10.151,149.257,334.8,1,1,2018-12-01,0025,T,86,6.0NRT,300.5,27,D
-10.152,149.266,321.9,1,1,2018-12-01,0025,T,74,6.0NRT,301.6,11.1,D
-9.982,147.897,328.6,1.1,1,2018-12-01,0025,T,78,6.0NRT,305.3,10.7,D
-9.983,147.907,328.8,1.1,1,2018-12-01,0025,T,73,6.0NRT,305.7,11,D
-10.171,149.08,326.6,1,1,2018-12-01,0025,T,79,6.0NRT,299.7,17.2,D
-8.902,140.977,312.8,3.4,1.7,2018-12-01,0025,T,35,6.0NRT,290.5,34.8,D
-8.968,140.926,316.8,3.4,1.7,2018-12-01,0025,T,38,6.0NRT,291.6,39.8,D
-12.183,141.922,319.1,2.5,1.5,2018-12-01,0025,T,0,6.0NRT,296.7,29,D
-12.577,143.228,319.1,2,1.4,2018-12-01,0025,T,63,6.0NRT,299.1,22.8,D
-12.936,141.656,319.1,2.5,1.5,2018-12-01,0025,T,36,6.0NRT,298.1,30.7,D
-13.49,142.713,337.2,2.1,1.4,2018-12-01,0025,T,87,6.0NRT,298.3,76.1,D
-14.399,141.969,322,2.3,1.5,2018-12-01,0025,T,66,6.0NRT,301.7,26.5,D
-14.403,141.989,345.9,2.2,1.5,2018-12-01,0025,T,92,6.0NRT,300.5,138.8,D
-14.516,142.332,326,2.1,1.4,2018-12-01,0025,T,74,6.0NRT,302.9,30.8,D
-14.758,142.906,323.8,1.9,1.3,2018-12-01,0025,T,61,6.0NRT,303.3,18,D
-14.761,142.923,326,1.9,1.3,2018-12-01,0025,T,75,6.0NRT,303.6,23.2,D
-15.032,143.644,325.4,1.6,1.3,2018-12-01,0025,T,57,6.0NRT,287.8,33,D
-15.047,143.594,338.3,1.7,1.3,2018-12-01,0025,T,87,6.0NRT,294,59.7,D
-15.053,143.562,332.5,1.7,1.3,2018-12-01,0025,T,76,6.0NRT,294,40.5,D
-15.073,143.542,328.3,1.7,1.3,2018-12-01,0025,T,49,6.0NRT,294.4,28.8,D
-15.062,143.553,325.4,1.7,1.3,2018-12-01,0025,T,33,6.0NRT,295.3,20.2,D
-15.071,143.536,325.4,1.7,1.3,2018-12-01,0025,T,35,6.0NRT,293.5,21.1,D
-15.082,143.534,323.1,1.7,1.3,2018-12-01,0025,T,31,6.0NRT,295.6,17.4,D
-15.435,143.235,336.4,1.7,1.3,2018-12-01,0025,T,83,6.0NRT,304.9,49.7,D
-15.466,143.09,330.7,1.8,1.3,2018-12-01,0025,T,78,6.0NRT,298.4,38.7,D
-15.469,143.106,324.9,1.8,1.3,2018-12-01,0025,T,30,6.0NRT,298.4,20.2,D
-15.472,143.123,325.2,1.8,1.3,2018-12-01,0025,T,33,6.0NRT,297.6,21.9,D
-15.487,143.137,333,1.8,1.3,2018-12-01,0025,T,65,6.0NRT,298.6,43.9,D
-15.492,143.169,325,1.7,1.3,2018-12-01,0025,T,64,6.0NRT,300.6,25.7,D
-15.551,143.092,326.4,1.8,1.3,2018-12-01,0025,T,27,6.0NRT,302.6,17.3,D
-15.554,143.108,329.6,1.8,1.3,2018-12-01,0025,T,50,6.0NRT,303.1,29,D
-15.807,144.605,331.8,1.4,1.2,2018-12-01,0025,T,60,6.0NRT,300.4,28.6,D
-15.56,143.1,334.4,1.8,1.3,2018-12-01,0025,T,82,6.0NRT,303.9,46.1,D
-15.764,142.862,328.8,1.8,1.3,2018-12-01,0025,T,65,6.0NRT,304.2,27,D
-15.767,142.879,328.1,1.8,1.3,2018-12-01,0025,T,52,6.0NRT,303.1,26.1,D
-15.79,142.944,325.7,1.8,1.3,2018-12-01,0025,T,58,6.0NRT,300.6,26.5,D
-15.77,142.855,327.8,1.8,1.3,2018-12-01,0025,T,66,6.0NRT,305.1,19.2,D
-15.773,142.872,328.4,1.8,1.3,2018-12-01,0025,T,53,6.0NRT,305.1,22.6,D
-15.797,142.937,332.6,1.8,1.3,2018-12-01,0025,T,81,6.0NRT,300.7,46.4,D
-15.805,142.918,327.9,1.8,1.3,2018-12-01,0025,T,37,6.0NRT,304.5,26,D
-15.808,142.934,327.1,1.8,1.3,2018-12-01,0025,T,47,6.0NRT,301.3,27.6,D
-15.857,143.144,323.3,1.7,1.3,2018-12-01,0025,T,55,6.0NRT,290.5,20.4,D
-15.876,142.836,332.6,1.8,1.3,2018-12-01,0025,T,81,6.0NRT,304.9,30,D
-15.879,142.853,331.9,1.8,1.3,2018-12-01,0025,T,80,6.0NRT,305.7,29.5,D
-15.885,142.845,349.3,1.8,1.3,2018-12-01,0025,T,94,6.0NRT,306.1,100.2,D
-16.035,142.829,327.6,1.8,1.3,2018-12-01,0025,T,50,6.0NRT,299.7,21.6,D
-16.201,143.813,325,1.5,1.2,2018-12-01,0025,T,68,6.0NRT,291.4,22.6,D
-16.204,143.827,325.3,1.5,1.2,2018-12-01,0025,T,65,6.0NRT,291.1,22.8,D
-16.217,143.839,323.5,1.5,1.2,2018-12-01,0025,T,61,6.0NRT,292.8,18.1,D
-16.664,145.257,333.3,1.2,1.1,2018-12-01,0025,T,78,6.0NRT,301.5,28.9,D
-16.666,145.269,341.5,1.2,1.1,2018-12-01,0025,T,87,6.0NRT,303.2,46,D
-16.668,145.28,328.2,1.2,1.1,2018-12-01,0025,T,63,6.0NRT,302.2,20.2,D
-16.657,145.153,323.3,1.2,1.1,2018-12-01,0025,T,36,6.0NRT,301.5,10.5,D
-16.667,145.152,332,1.2,1.1,2018-12-01,0025,T,76,6.0NRT,301.3,24.9,D
-16.669,145.163,326.3,1.2,1.1,2018-12-01,0025,T,53,6.0NRT,302.2,14.3,D
-16.488,143.185,333,1.7,1.3,2018-12-01,0025,T,75,6.0NRT,307.7,28.6,D
-16.491,143.2,332.1,1.7,1.3,2018-12-01,0025,T,67,6.0NRT,307,25.7,D
-16.488,143.194,335.9,1.7,1.3,2018-12-01,0025,T,79,6.0NRT,307,36.6,D
-16.58,143.594,334.4,1.6,1.2,2018-12-01,0025,T,69,6.0NRT,307.7,33.2,D
-16.535,143.265,334.6,1.6,1.3,2018-12-01,0025,T,61,6.0NRT,305,37.3,D
-16.538,143.28,330.1,1.6,1.3,2018-12-01,0025,T,33,6.0NRT,302.5,27.7,D
-16.797,144.689,336.9,1.3,1.1,2018-12-01,0025,T,67,6.0NRT,308.9,26.9,D
-16.803,144.726,344.7,1.3,1.1,2018-12-01,0025,T,89,6.0NRT,309,46.1,D
-16.805,144.738,333.6,1.3,1.1,2018-12-01,0025,T,67,6.0NRT,308,22,D
-16.578,143.241,332.8,1.6,1.3,2018-12-01,0025,T,49,6.0NRT,303.1,35.2,D
-16.815,144.674,326.4,1.3,1.1,2018-12-01,0025,T,49,6.0NRT,305.9,12.7,D
